name,address,city,stars,review_count,tags
G Peppers Grill & Tavern,8745 Gunn Hwy,Odessa,4.0,82,restaurants mexican american (traditional) restaurants mexican american (traditional) restaurantsgoodforgroups restaurantsattire_casual goodforkids alcohol_beer_and_wine businessparking_lot businessacceptscreditcards restaurantstakeout bikeparking hastv noiselevel_average wifi_free cheap budget inexpensive affordable happyhour ambience_casual goodformeal_lunch goodformeal_dinner
Noble Crust,28330 Paseo Dr,Wesley Chapel,4.5,496,restaurants italian nightlife southern bar breakfast & brunch pizza restaurants italian nightlife southern bar breakfast & brunch pizza businessacceptscreditcards wifi_free happyhour caters goodforkids wheelchairaccessible restaurantsattire_casual noiselevel_average moderate casual restaurantsdelivery restaurantsreservations restaurantstakeout alcohol_full_bar restaurantstableservice bestnights_friday bestnights_wednesday bestnights_saturday outdoorseating restaurantsgoodforgroups hastv goodformeal_dessert goodformeal_lunch goodformeal_dinner goodformeal_brunch ambience_casual ambience_trendy corkage businessparking_lot
Domino's Pizza,"3800 Tampa Rd, Ste 180",Oldsmar,2.5,20,pizza chicken wings restaurants sandwich pizza chicken wings restaurants sandwich restaurantstakeout goodforkids restaurantsdelivery businessacceptscreditcards restaurantsattire_casual restaurantsgoodforgroups businessparking_lot cheap budget inexpensive affordable
The Corner Cafe and Deli,"100 S Ashley Dr, Ste 220",Tampa,4.0,6,sandwich cafes burger food restaurants sandwich cafes burger food restaurants businessacceptscreditcards goodforkids restaurantstakeout restaurantsattire_casual restaurantsdelivery caters hastv goodformeal_lunch goodformeal_breakfast cheap budget inexpensive affordable noiselevel_quiet restaurantsgoodforgroups wifi_free
The Hip Hop Sandwich Shop,10470 Northcliffe Blvd,Spring Hill,2.5,5,sandwich restaurants sandwich restaurants restaurantsdelivery restaurantstakeout
The Bricks,1327 E 7th Ave,Tampa,4.0,548,bar breakfast & brunch restaurants american (new) coffee & tea food nightlife vegetarian bar breakfast & brunch restaurants american (new) coffee & tea food nightlife vegetarian businessparking_street goodforkids caters alcohol_full_bar restaurantstakeout restaurantsgoodforgroups restaurantsattire_casual bikeparking wifi_free businessacceptscreditcards noiselevel_average moderate casual hastv bestnights_friday bestnights_thursday bestnights_saturday restaurantstableservice happyhour restaurantsdelivery ambience_hipster ambience_classy ambience_casual smoking_outdoor wheelchairaccessible goodformeal_lunch goodformeal_dinner outdoorseating
Snellgroves Restaurant,109 S Collins St,Plant City,3.5,64,southern american (new) breakfast & brunch restaurants southern american (new) breakfast & brunch restaurants alcohol_beer_and_wine caters goodforkids wifi_free businessacceptscreditcards businessparking_street businessparking_lot restaurantsattire_casual restaurantstakeout bikeparking cheap budget inexpensive affordable noiselevel_average ambience_casual hastv restaurantsgoodforgroups goodformeal_lunch goodformeal_breakfast restaurantsdelivery
Adventure Coast Fun Park,9227 County Line Rd,Spring Hill,4.5,10,american (new) restaurants event planning & services arts & entertainment arcades race tracks active life mini golf go karts venues & event spaces american (new) restaurants event planning & services arts & entertainment arcades race tracks active life mini golf go karts venues & event spaces wheelchairaccessible goodforkids businessacceptscreditcards
McDonald's,11110 Causeway Blvd,Brandon,2.0,6,sandwich burger food fast food restaurants coffee & tea sandwich burger food fast food restaurants coffee & tea restaurantsgoodforgroups cheap budget inexpensive affordable businessacceptscreditcards goodforkids restaurantstakeout drivethru restaurantsdelivery
Casita Taqueria,2701 4th St,Saint Petersburg,4.5,207,mexican restaurants mexican restaurants caters hastv restaurantstableservice businessacceptscreditcards restaurantsgoodforgroups alcohol_beer_and_wine bikeparking noiselevel_average restaurantsattire_casual happyhour goodforkids businessparking_lot goodformeal_lunch goodformeal_dinner cheap budget inexpensive affordable restaurantstakeout ambience_casual outdoorseating
Pita Kebob,3028 E College Ave,Ruskin,4.0,142,kebab mediterranean middle eastern lebanese restaurants greek food kebab mediterranean middle eastern lebanese restaurants greek food restaurantsgoodforgroups hastv ambience_casual restaurantsattire_casual businessacceptscreditcards outdoorseating cheap budget inexpensive affordable caters wifi_free businessparking_street businessparking_lot goodforkids noiselevel_quiet goodformeal_lunch goodformeal_dinner
365 Caffe Italiano,"28210 Paseo Dr, Ste 100, Shops At Wiregrass",Wesley Chapel,4.5,127,breakfast & brunch coffee & tea food ice cream & frozen yogurt creperies gelato comfort food sandwich restaurants cafes breakfast & brunch coffee & tea food ice cream & frozen yogurt creperies gelato comfort food sandwich restaurants cafes wifi_free restaurantsgoodforgroups restaurantsattire_casual businessparking_lot businessparking_valet goodformeal_dessert goodformeal_lunch goodformeal_brunch goodformeal_breakfast outdoorseating goodforkids restaurantsreservations restaurantstakeout businessacceptscreditcards wheelchairaccessible bikeparking noiselevel_average cheap budget inexpensive affordable ambience_classy ambience_casual restaurantsdelivery dogsallowed
KELP Sushi Joint,"3401 W Bay To Bay Blvd, Ste D",Tampa,4.0,325,japanese sushi bar food restaurants asian fusion poke acai bowls japanese sushi bar food restaurants asian fusion poke acai bowls restaurantsattire_casual wifi_free noiselevel_average moderate casual bikeparking businessparking_lot restaurantstakeout caters wheelchairaccessible goodforkids businessacceptscreditcards restaurantsgoodforgroups happyhour alcohol_beer_and_wine restaurantsdelivery goodformeal_lunch goodformeal_dinner dogsallowed outdoorseating restaurantsreservations ambience_trendy ambience_classy
CD Roma Restaurant,1462 66th St N,Saint Petersburg,4.0,125,restaurants wine bar italian food sandwich nightlife brewery bar pizza restaurants wine bar italian food sandwich nightlife brewery bar pizza restaurantsdelivery wifi_free goodforkids caters outdoorseating ambience_casual alcohol_beer_and_wine restaurantsgoodforgroups businessacceptscreditcards noiselevel_average businessparking_lot hastv dogsallowed moderate casual wheelchairaccessible restaurantsattire_casual restaurantstakeout restaurantstableservice smoking_outdoor corkage happyhour goodformeal_dinner byob
Auntie Anne's,27001 US Highway 19 N,Clearwater,2.5,10,restaurants pretzels food bakeries restaurants pretzels food bakeries businessacceptscreditcards cheap budget inexpensive affordable restaurantstakeout restaurantsdelivery
Ted's Luncheonette,1201 Clearwater Largo Rd N,Largo,4.0,37,breakfast & brunch restaurants breakfast & brunch restaurants cheap budget inexpensive affordable businessacceptscreditcards restaurantsgoodforgroups goodforkids restaurantstakeout bikeparking hastv businessparking_lot restaurantsattire_casual noiselevel_quiet goodformeal_lunch goodformeal_brunch goodformeal_breakfast ambience_casual
The Humming Bird Jerk house,"17631 Bruce B Downs Blvd, Unit F",Tampa,3.5,32,restaurants caribbean restaurants caribbean restaurantstakeout restaurantstableservice ambience_classy hastv restaurantsdelivery
Dio Modern Mediteranean,519 N Franklin St,Tampa,4.0,325,greek restaurants mediterranean greek restaurants mediterranean restaurantstableservice noiselevel_average businessacceptscreditcards restaurantsattire_casual businessparking_street goodformeal_dessert goodformeal_lunch moderate casual wifi_free hastv caters bikeparking goodforkids restaurantstakeout outdoorseating restaurantsgoodforgroups wheelchairaccessible alcohol_full_bar ambience_casual
Terra Sur Cafe,"5330 Ehrlich Rd, Ste 103",Tampa,4.0,316,latin american restaurants peruvian seafood latin american restaurants peruvian seafood restaurantsattire_casual restaurantsdelivery goodforkids restaurantsgoodforgroups alcohol_beer_and_wine businessacceptscreditcards restaurantstakeout moderate casual caters bikeparking noiselevel_average businessparking_lot restaurantstableservice goodformeal_lunch goodformeal_dinner ambience_romantic ambience_classy
Tsunami Japanese Steakhouse,2176 Tyrone Blvd N,Saint Petersburg,3.0,212,steakhouse restaurants sushi bar japanese steakhouse restaurants sushi bar japanese businessparking_lot businessacceptscreditcards restaurantstakeout goodforkids bikeparking restaurantsattire_casual restaurantsreservations noiselevel_average restaurantsgoodforgroups hastv moderate casual alcohol_full_bar ambience_casual goodformeal_dinner byob happyhour corkage wheelchairaccessible restaurantstableservice
Taco Bell,4647 West Kennedy Blvd,Tampa,2.5,42,restaurants tex-mex breakfast & brunch mexican fast food taco restaurants tex-mex breakfast & brunch mexican fast food taco noiselevel_average goodforkids bikeparking cheap budget inexpensive affordable restaurantsgoodforgroups restaurantsattire_casual restaurantstakeout businessacceptscreditcards restaurantsdelivery businessparking_lot drivethru goodformeal_latenight goodformeal_breakfast hastv
Beef 'O' Brady's,18421 N US Hwy 41,Lutz,3.0,46,american (traditional) pubs chicken wings sports bar sandwich bar restaurants nightlife breakfast & brunch american (traditional) pubs chicken wings sports bar sandwich bar restaurants nightlife breakfast & brunch restaurantstakeout businessparking_lot goodforkids restaurantsdelivery restaurantsreservations restaurantsattire_casual restaurantsgoodforgroups businessacceptscreditcards noiselevel_average caters wifi_free hastv ambience_casual alcohol_full_bar restaurantstableservice wheelchairaccessible bikeparking happyhour moderate casual goodformeal_lunch bestnights_monday bestnights_thursday bestnights_friday
Fuzzy's Taco Shop,"5621 E Fowler Ave, Units 201-207",Tampa,3.0,172,sports bar breakfast & brunch mexican nightlife tex-mex restaurants sandwich bar sports bar breakfast & brunch mexican nightlife tex-mex restaurants sandwich bar outdoorseating businessacceptscreditcards restaurantstakeout goodforkids restaurantsgoodforgroups dogsallowed businessparking_lot alcohol_full_bar restaurantsdelivery hastv wifi_free caters bikeparking noiselevel_average wheelchairaccessible cheap budget inexpensive affordable restaurantsattire_casual ambience_casual goodformeal_lunch goodformeal_dinner happyhour
Harvest Bowl Eatery & Market,6109 N Florida Ave,Tampa,4.0,101,wrap american (new) vegan breakfast & brunch restaurants wrap american (new) vegan breakfast & brunch restaurants restaurantsgoodforgroups moderate casual wifi_free bikeparking wheelchairaccessible businessacceptscreditcards restaurantsdelivery byob restaurantstakeout caters businessparking_lot ambience_hipster ambience_trendy
Island Fin Poké,"6417 E County Line Rd, Ste 101",Tampa,5.0,88,gluten-free poke food restaurants hawaiian gluten-free poke food restaurants hawaiian wifi_free wheelchairaccessible caters outdoorseating moderate casual businessacceptscreditcards bikeparking restaurantstakeout restaurantsdelivery hastv
Basimo Beach Cafe,"1261 Gulf Blvd, Ste 120",Clearwater,4.0,339,breakfast & brunch restaurants juice bar & smoothie cafes coffee & tea food breakfast & brunch restaurants juice bar & smoothie cafes coffee & tea food ambience_hipster ambience_casual wifi_free dogsallowed caters noiselevel_quiet outdoorseating moderate casual businessacceptsbitcoin restaurantsattire_casual wheelchairaccessible goodformeal_lunch goodformeal_brunch goodformeal_breakfast bikeparking restaurantsreservations businessparking_street businessparking_lot businessparking_valet goodforkids businessacceptscreditcards restaurantsdelivery
Fray's Donut House,5236 16th St N,Saint Petersburg,4.5,60,breakfast & brunch coffee & tea restaurants donut food breakfast & brunch coffee & tea restaurants donut food bikeparking cheap budget inexpensive affordable businessacceptscreditcards restaurantstableservice restaurantsattire_casual restaurantstakeout goodforkids businessparking_lot wifi_free restaurantsgoodforgroups
Julian Restaurant,2545 N Rocky Point Dr,Tampa,4.5,27,cocktail bar seafood bar nightlife restaurants tapas/small plates cocktail bar seafood bar nightlife restaurants tapas/small plates ambience_classy restaurantsdelivery restaurantstakeout businessparking_valet restaurantstableservice restaurantsattire_casual
Salty Lime Cantina,1019 Florida Ave,Palm Harbor,4.5,103,tex-mex restaurants bar taco cocktail bar mexican nightlife tex-mex restaurants bar taco cocktail bar mexican nightlife restaurantstakeout moderate casual caters restaurantstableservice outdoorseating wheelchairaccessible
Paradise Pizza Cafe,"4810 E Busch Blvd, Ste L&M",Tampa,2.5,7,restaurants mediterranean pizza burger breakfast & brunch turkish kebab restaurants mediterranean pizza burger breakfast & brunch turkish kebab restaurantsdelivery restaurantstakeout
Ichicoro Ane,"260 1st Ave S, Ste 100",Saint Petersburg,4.0,264,ramen restaurants tapas/small plates nightlife japanese bar cocktail bar ramen restaurants tapas/small plates nightlife japanese bar cocktail bar wifi_free noiselevel_loud ambience_intimate ambience_trendy ambience_classy ambience_casual moderate casual restaurantstableservice restaurantstakeout happyhour restaurantsattire_casual goodforkids businessacceptscreditcards alcohol_full_bar restaurantsreservations goodformeal_dinner caters businessparking_garage businessparking_street bestnights_friday bestnights_thursday bestnights_sunday bikeparking restaurantsgoodforgroups restaurantsdelivery wheelchairaccessible
Breakfast Club,10150 US Highway 19,New Port Richey,4.5,80,restaurants breakfast & brunch coffee & tea food restaurants breakfast & brunch coffee & tea food bikeparking businessacceptscreditcards hastv restaurantstakeout restaurantsgoodforgroups restaurantsattire_casual wifi_free restaurantsreservations cheap budget inexpensive affordable goodforkids restaurantstableservice goodformeal_lunch goodformeal_brunch noiselevel_average businessparking_lot restaurantsdelivery
The Little Lamb,"2475 N McMullen Booth Rd, Ste J",Clearwater,4.5,307,pubs gastropubs bar nightlife american (new) restaurants pubs gastropubs bar nightlife american (new) restaurants wifi_free businessparking_lot hastv restaurantstableservice outdoorseating restaurantstakeout wheelchairaccessible moderate casual alcohol_beer_and_wine corkage noiselevel_quiet bikeparking ambience_hipster ambience_trendy ambience_classy ambience_casual restaurantsreservations restaurantsattire_casual restaurantsgoodforgroups goodformeal_lunch goodformeal_dinner goodformeal_dessert businessacceptscreditcards
Villagio Cinemas,11778 N Dale Mabry Hwy,Tampa,3.0,285,cinema nightlife pizza italian arts & entertainment burger restaurants lounges bar cinema nightlife pizza italian arts & entertainment burger restaurants lounges bar wifi_free bikeparking alcohol_full_bar noiselevel_quiet restaurantsdelivery businessparking_lot moderate casual businessacceptscreditcards restaurantsreservations goodforkids restaurantsattire_casual goodformeal_dinner restaurantstakeout wheelchairaccessible hastv restaurantstableservice bestnights_sunday bestnights_saturday ambience_classy restaurantsgoodforgroups
Twistee Treat - New Tampa,8810 New Tampa Blvd,Tampa,3.5,70,juice bar & smoothie ice cream & frozen yogurt american (traditional) food desserts hot dog restaurants juice bar & smoothie ice cream & frozen yogurt american (traditional) food desserts hot dog restaurants restaurantstakeout bikeparking businessacceptscreditcards businessparking_lot cheap budget inexpensive affordable dogsallowed noiselevel_average restaurantsgoodforgroups wheelchairaccessible goodforkids outdoorseating hastv
Zaxby's Chicken Fingers & Buffalo Wings,11619 W Hillsborough Ave,Tampa,3.0,37,restaurants chicken shop chicken wings salad fast food restaurants chicken shop chicken wings salad fast food businessacceptscreditcards restaurantsgoodforgroups wifi_free cheap budget inexpensive affordable goodformeal_lunch restaurantsdelivery bikeparking goodforkids hastv restaurantsattire_casual drivethru businessparking_lot restaurantstakeout
Kobe Japanese Steakhouse,2773 66th St N,Saint Petersburg,4.5,91,japanese steakhouse restaurants sushi bar teppanyaki japanese steakhouse restaurants sushi bar teppanyaki restaurantstakeout businessacceptscreditcards ambience_casual ambience_trendy ambience_romantic happyhour restaurantsdelivery businessparking_lot restaurantsgoodforgroups restaurantsreservations alcohol_full_bar
Gu Wei Noodles & Grill,"18101 Highwoods Preserve Pkwy, Ste 100",Tampa,4.5,40,szechuan noodles restaurants chinese szechuan noodles restaurants chinese alcohol_beer_and_wine caters wifi_free wheelchairaccessible businessacceptscreditcards hastv restaurantsdelivery restaurantstableservice restaurantstakeout
Pitas Republic,13145 US Hwy 301 S,Riverview,5.0,5,restaurants diner restaurants diner goodforkids restaurantstakeout restaurantsdelivery
Subway,19410 N Bruce B Downs Blvd,Tampa,3.0,14,food sandwich restaurants fast food food sandwich restaurants fast food restaurantstakeout goodforkids restaurantsgoodforgroups wifi_free businessacceptscreditcards cheap budget inexpensive affordable caters restaurantsdelivery restaurantsattire_casual
Zeko's Mediterranean Grill,3609 E Busch Blvd,Tampa,4.5,345,restaurants falafel fast food mediterranean middle eastern halal greek restaurants falafel fast food mediterranean middle eastern halal greek noiselevel_average restaurantstakeout caters ambience_casual restaurantsgoodforgroups businessacceptscreditcards restaurantsattire_casual wifi_free goodforkids hastv goodformeal_lunch goodformeal_dinner bikeparking restaurantsdelivery businessparking_lot moderate casual drivethru
Tryst Gastro Lounge,240 Beach Dr NE,Saint Petersburg,3.5,295,bar beer wine & spirits restaurants lounges tapas/small plates mediterranean food nightlife bar beer wine & spirits restaurants lounges tapas/small plates mediterranean food nightlife outdoorseating restaurantsreservations noiselevel_average alcohol_full_bar restaurantsattire_casual restaurantsdelivery bikeparking businessacceptscreditcards wifi_free caters hastv restaurantstakeout restaurantsgoodforgroups moderate casual ambience_trendy ambience_classy goodformeal_latenight goodformeal_lunch goodformeal_dinner businessparking_street bestnights_friday bestnights_thursday bestnights_saturday happyhour smoking_outdoor restaurantstableservice wheelchairaccessible
Burger King,4403 W Gandy Blvd,Tampa,2.0,11,burger fast food restaurants burger fast food restaurants goodforkids cheap budget inexpensive affordable restaurantsdelivery businessacceptscreditcards
Super China Chinese Restaurant,8663 Little Rd,New Port Richey,4.0,54,restaurants chinese restaurants chinese bikeparking hastv restaurantsattire_casual restaurantstakeout goodforkids cheap budget inexpensive affordable businessacceptscreditcards restaurantsdelivery restaurantsgoodforgroups
McDonald's,3110 Sr 674,Sun City,2.0,24,food burger coffee & tea fast food restaurants food burger coffee & tea fast food restaurants restaurantstakeout businessacceptscreditcards restaurantsgoodforgroups wifi_free goodforkids noiselevel_average goodformeal_breakfast restaurantsattire_casual businessparking_lot cheap budget inexpensive affordable restaurantsdelivery hastv drivethru
D-Town Bar & Grill,1056 Main St,Dunedin,3.0,91,sports bar nightlife american (traditional) breakfast & brunch cafes restaurants burger bar sports bar nightlife american (traditional) breakfast & brunch cafes restaurants burger bar happyhour wheelchairaccessible businessparking_lot noiselevel_average restaurantsattire_casual businessacceptscreditcards restaurantstableservice hastv bikeparking moderate casual restaurantsgoodforgroups restaurantstakeout alcohol_full_bar wifi_free smoking_outdoor restaurantsreservations ambience_casual restaurantsdelivery goodforkids
Anani Bistro,3062 Beach Blvd S,Gulfport,4.5,17,american (new) juice bar & smoothie coffee & tea wine bar restaurants cafes nightlife food bar acai bowls american (new) juice bar & smoothie coffee & tea wine bar restaurants cafes nightlife food bar acai bowls outdoorseating wifi_free bikeparking hastv wheelchairaccessible restaurantstakeout happyhour alcohol_beer_and_wine businessparking_street dogsallowed ambience_classy businessacceptscreditcards
Guido's Italian Restaurant,7219 Forest Oaks Blvd,Spring Hill,3.5,128,pizza restaurants italian pizza restaurants italian businessparking_lot restaurantstakeout restaurantsgoodforgroups caters restaurantsattire_casual businessacceptscreditcards restaurantsreservations alcohol_beer_and_wine goodforkids ambience_casual hastv goodformeal_lunch goodformeal_dinner bikeparking noiselevel_average moderate casual restaurantsdelivery wheelchairaccessible outdoorseating restaurantstableservice
ABC Pizza House,1242 W Hillsborough Ave,Tampa,4.0,121,restaurants pizza restaurants pizza restaurantsgoodforgroups restaurantsattire_casual restaurantstakeout hastv businessparking_lot cheap budget inexpensive affordable alcohol_beer_and_wine businessacceptscreditcards goodforkids caters noiselevel_average goodformeal_lunch goodformeal_dinner restaurantstableservice wheelchairaccessible bikeparking ambience_casual restaurantsdelivery
Lan Zhou Lamen,2716 E Fowler Ave,Tampa,4.0,78,chinese noodles seafood chicken wings restaurants chinese noodles seafood chicken wings restaurants restaurantsgoodforgroups hastv goodformeal_dinner restaurantstableservice ambience_casual businessacceptscreditcards
Thai 5 Fast Food,3424 S Dale Mabry Hwy,Tampa,4.0,336,laotian american (traditional) asian fusion salad pan asian sushi bar food trucks food noodles restaurants thai laotian american (traditional) asian fusion salad pan asian sushi bar food trucks food noodles restaurants thai goodforkids restaurantstakeout noiselevel_average restaurantsattire_casual moderate casual bikeparking wheelchairaccessible restaurantsdelivery ambience_casual caters goodformeal_lunch goodformeal_dinner businessparking_street businessparking_lot businessacceptscreditcards wifi_free outdoorseating restaurantsgoodforgroups hastv
Steak ’n Shake,9116 US Highway 19 N,New Port Richey,2.5,45,restaurants american (new) burger steakhouse american (traditional) diner breakfast & brunch fast food restaurants american (new) burger steakhouse american (traditional) diner breakfast & brunch fast food wifi_free restaurantsgoodforgroups businessparking_lot bikeparking cheap budget inexpensive affordable noiselevel_average restaurantsattire_casual goodforkids restaurantstakeout businessacceptscreditcards goodformeal_latenight ambience_casual happyhour restaurantsdelivery drivethru
Wendy's,11760 Oakhurst Road,Largo,2.0,22,restaurants fast food burger restaurants fast food burger restaurantsattire_casual bikeparking cheap budget inexpensive affordable restaurantsdelivery businessacceptscreditcards restaurantsgoodforgroups restaurantstakeout goodforkids hastv outdoorseating wifi_free
Stefano Greek Italian Restaurant,8600 N 56th St,Tampa,4.0,106,food desserts breakfast & brunch restaurants american (traditional) greek italian food desserts breakfast & brunch restaurants american (traditional) greek italian noiselevel_average moderate casual restaurantsattire_casual restaurantsgoodforgroups bikeparking goodforkids restaurantstakeout hastv alcohol_beer_and_wine businessacceptscreditcards businessparking_lot ambience_casual goodformeal_lunch goodformeal_dinner restaurantstableservice restaurantsreservations wheelchairaccessible caters
First Watch,3691 Tampa Rd,Oldsmar,4.0,93,restaurants american (traditional) cafes breakfast & brunch restaurants american (traditional) cafes breakfast & brunch restaurantstableservice restaurantsgoodforgroups businessacceptscreditcards restaurantsdelivery restaurantstakeout hastv wifi_free noiselevel_average goodformeal_breakfast goodformeal_brunch goodformeal_lunch ambience_casual ambience_trendy outdoorseating moderate casual
Five Star Pizza,10926 N 56th St,Tampa,4.0,95,pizza restaurants pizza restaurants restaurantstakeout restaurantsdelivery restaurantsattire_casual moderate casual bikeparking restaurantsgoodforgroups businessacceptscreditcards hastv noiselevel_average goodforkids outdoorseating
Capricho’s,"4810 E Busch Blvd, Ste F",Tampa,5.0,8,breakfast & brunch restaurants dominican caribbean food coffee & tea breakfast & brunch restaurants dominican caribbean food coffee & tea hastv
Ranch House Restaurant,7706 W Hillsborough Ave,Tampa,3.5,39,restaurants food coffee & tea breakfast & brunch american (traditional) diner restaurants food coffee & tea breakfast & brunch american (traditional) diner restaurantsreservations bikeparking cheap budget inexpensive affordable restaurantsattire_casual restaurantstakeout businessparking_lot goodforkids restaurantsgoodforgroups wifi_free hastv caters businessacceptscreditcards noiselevel_average restaurantstableservice restaurantsdelivery wheelchairaccessible
Jesse's Steak and Seafood,524 W Brandon Blvd,Brandon,4.0,267,sandwich steakhouse restaurants seafood sandwich steakhouse restaurants seafood alcohol_full_bar restaurantsgoodforgroups restaurantstakeout restaurantsattire_casual businessacceptscreditcards corkage goodforkids byobcorkage_yes_corkage noiselevel_average moderate casual ambience_casual businessparking_lot restaurantstableservice hastv caters happyhour goodformeal_lunch goodformeal_dinner
Salty Shamrock Fishing Charters and Events,6186 Apollo Beach Blvd,Apollo Beach,4.0,12,seafood restaurants boat charters event planning & services seafood restaurants boat charters event planning & services businessacceptscreditcards
Toki Sushi,14313 N Dale Mabry Hwy,Tampa,4.0,106,restaurants japanese sushi bar restaurants japanese sushi bar restaurantsgoodforgroups moderate casual restaurantsattire_casual bikeparking businessparking_lot goodforkids alcohol_beer_and_wine restaurantstakeout businessacceptscreditcards noiselevel_quiet restaurantsreservations caters goodformeal_dinner hastv ambience_casual
The Burg Diner,2950 49th St N,Saint Petersburg,4.0,109,diner restaurants diner restaurants restaurantsgoodforgroups cheap budget inexpensive affordable restaurantsattire_casual goodformeal_lunch goodformeal_dinner goodformeal_brunch goodformeal_breakfast goodforkids businessacceptscreditcards alcohol_beer_and_wine bikeparking restaurantstakeout hastv businessparking_lot noiselevel_average ambience_casual restaurantstableservice
Alvarez  Authentic Latin Food,7715 Land O' Lakes Blvd,Land O'Lakes,4.5,51,restaurants taco vegetarian breakfast & brunch latin american mexican restaurants taco vegetarian breakfast & brunch latin american mexican restaurantsgoodforgroups outdoorseating goodforkids caters alcohol_beer_and_wine noiselevel_average restaurantstakeout cheap budget inexpensive affordable restaurantstableservice businessacceptscreditcards restaurantsattire_casual wheelchairaccessible hastv bikeparking ambience_divey
Shorty's Breakfast & Gourmet Deli,"1261 Gulf Blvd, Ste 125",Clearwater,4.5,68,cuban food delis convenience stores american (traditional) breakfast & brunch restaurants cuban food delis convenience stores american (traditional) breakfast & brunch restaurants restaurantstableservice bikeparking businessparking_lot wifi_free goodforkids wheelchairaccessible restaurantstakeout caters businessacceptscreditcards alcohol_beer_and_wine restaurantsgoodforgroups noiselevel_quiet goodformeal_lunch cheap budget inexpensive affordable outdoorseating ambience_casual restaurantsattire_casual dogsallowed restaurantsreservations
Yah Mon,"301 W Platt St, Unit C",Tampa,4.5,697,restaurants caribbean restaurants caribbean moderate casual restaurantsgoodforgroups businessacceptscreditcards restaurantsattire_casual goodforkids ambience_trendy ambience_classy hastv bikeparking wheelchairaccessible restaurantstableservice alcohol_beer_and_wine restaurantstakeout businessparking_lot goodformeal_dinner caters restaurantsdelivery wifi_free restaurantsreservations noiselevel_average
Hiccups & Churroholic,13030 N Dale Mabry Hwy,Tampa,4.5,108,juice bar & smoothie restaurants chicken wings food asian fusion ice cream & frozen yogurt desserts juice bar & smoothie restaurants chicken wings food asian fusion ice cream & frozen yogurt desserts moderate casual outdoorseating restaurantstakeout restaurantsdelivery
